attempts,completions,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fpts_standard,fpts_half_ppr,fpts_ppr,fpts_te_premium,player_id,player_name,position,team,age,age_multiplier,scenario,season_proj,model,projection_confidence,games_recent,returning_from_injury
424.0,284.0,2907.0,19.4,6.1,29.0,27.0,1.6,0.0,0.0,0.0,0.0,194.0,194.0,194.0,194.0,00-0019596,Tom Brady,QB,TB,49,0.59,bear,2026,weighted_v1,High,17,False
424.0,284.0,2907.0,19.4,6.1,29.0,27.0,1.6,0.0,0.0,0.0,0.0,194.0,194.0,194.0,194.0,00-0019596,Tom Brady,QB,TB,49,0.59,base,2026,weighted_v1,High,17,False
424.0,284.0,2907.0,19.4,6.1,29.0,27.0,1.6,0.0,0.0,0.0,0.0,194.0,194.0,194.0,194.0,00-0019596,Tom Brady,QB,TB,49,0.59,bull,2026,weighted_v1,High,17,False
309.0,218.0,2334.0,17.0,4.8,26.0,-3.0,2.8,0.0,0.0,0.0,0.0,168.3,168.3,168.3,168.3,00-0020531,Drew Brees,QB,NO,48,0.59,bear,2026,weighted_v1,Medium,12,False
309.0,218.0,2334.0,17.0,4.8,26.0,-3.0,2.8,0.0,0.0,0.0,0.0,168.3,168.3,168.3,168.3,00-0020531,Drew Brees,QB,NO,48,0.59,base,2026,weighted_v1,Medium,12,False
309.0,218.0,2334.0,17.0,4.8,26.0,-3.0,2.8,0.0,0.0,0.0,0.0,168.3,168.3,168.3,168.3,00-0020531,Drew Brees,QB,NO,48,0.59,bull,2026,weighted_v1,Medium,12,False
,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,22.0,0.5,5.2,7.2,9.2,11.2,00-0022127,Jason Witten,TE,LV,44,0.71,bear,2026,weighted_v1,Medium,10,False
,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,22.0,0.5,5.2,7.2,9.2,11.2,00-0022127,Jason Witten,TE,LV,44,0.71,base,2026,weighted_v1,Medium,10,False
,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,22.0,0.5,5.2,7.2,9.2,11.2,00-0022127,Jason Witten,TE,LV,44,0.71,bull,2026,weighted_v1,Medium,10,False
,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,45.0,0.1,5.1,8.1,11.1,11.1,00-0022921,Larry Fitzgerald,WR,ARI,43,0.55,bear,2026,weighted_v1,Medium,13,False
,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,45.0,0.1,5.1,8.1,11.1,11.1,00-0022921,Larry Fitzgerald,WR,ARI,43,0.55,base,2026,weighted_v1,Medium,13,False
,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,45.0,0.1,5.1,8.1,11.1,11.1,00-0022921,Larry Fitzgerald,WR,ARI,43,0.55,bull,2026,weighted_v1,Medium,13,False
386.0,250.0,2394.0,15.9,6.4,23.0,7.0,0.8,0.0,0.0,0.0,0.0,152.1,152.1,152.1,152.1,00-0022924,Ben Roethlisberger,QB,PIT,45,0.59,bear,2026,weighted_v1,High,16,False
386.0,250.0,2394.0,15.9,6.4,23.0,7.0,0.8,0.0,0.0,0.0,0.0,152.1,152.1,152.1,152.1,00-0022924,Ben Roethlisberger,QB,PIT,45,0.59,base,2026,weighted_v1,High,16,False
386.0,250.0,2394.0,15.9,6.4,23.0,7.0,0.8,0.0,0.0,0.0,0.0,152.1,152.1,152.1,152.1,00-0022924,Ben Roethlisberger,QB,PIT,45,0.59,bull,2026,weighted_v1,High,16,False
301.0,201.0,1892.0,7.2,9.6,21.0,6.0,0.0,0.0,0.0,0.0,0.0,85.9,85.9,85.9,85.9,00-0023436,Alex Smith,QB,WAS,42,0.59,bear,2026,weighted_v1,Medium,8,False
301.0,201.0,1892.0,7.2,9.6,21.0,6.0,0.0,0.0,0.0,0.0,0.0,85.9,85.9,85.9,85.9,00-0023436,Alex Smith,QB,WAS,42,0.59,base,2026,weighted_v1,Medium,8,False
301.0,201.0,1892.0,7.2,9.6,21.0,6.0,0.0,0.0,0.0,0.0,0.0,85.9,85.9,85.9,85.9,00-0023436,Alex Smith,QB,WAS,42,0.59,bull,2026,weighted_v1,Medium,8,False
261.0,169.0,1749.0,12.8,4.1,21.0,71.0,0.8,0.0,0.0,0.0,0.0,124.9,124.9,124.9,124.9,00-0023459,Aaron Rodgers,QB,PIT,43,0.59,bear,2026,weighted_v1,High,16,False
321.0,208.0,2152.0,15.8,5.0,21.0,71.0,0.8,0.0,0.0,0.0,0.0,151.2,151.2,151.2,151.2,00-0023459,Aaron Rodgers,QB,PIT,43,0.59,base,2026,weighted_v1,High,16,False
354.0,229.0,2371.0,17.4,5.5,21.0,71.0,0.8,0.0,0.0,0.0,0.0,165.3,165.3,165.3,165.3,00-0023459,Aaron Rodgers,QB,PIT,43,0.59,bull,2026,weighted_v1,High,16,False
,,0.0,0.0,0.0,93.0,326.0,1.0,9.0,8.0,44.0,0.3,44.8,48.8,52.8,52.8,00-0023500,Frank Gore,RB,NYJ,43,0.44,bear,2026,weighted_v1,High,15,False
,,0.0,0.0,0.0,93.0,326.0,1.0,9.0,8.0,44.0,0.3,44.8,48.8,52.8,52.8,00-0023500,Frank Gore,RB,NYJ,43,0.44,base,2026,weighted_v1,High,15,False
,,0.0,0.0,0.0,93.0,326.0,1.0,9.0,8.0,44.0,0.3,44.8,48.8,52.8,52.8,00-0023500,Frank Gore,RB,NYJ,43,0.44,bull,2026,weighted_v1,High,15,False
,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,39.0,0.3,5.7,7.7,9.7,11.7,00-0025418,Greg Olsen,TE,SEA,41,0.71,bear,2026,weighted_v1,Medium,11,False
,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,39.0,0.3,5.7,7.7,9.7,11.7,00-0025418,Greg Olsen,TE,SEA,41,0.71,base,2026,weighted_v1,Medium,11,False
